taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2535842	Leucocoprinus bresadolae (Schulzer) Wasser	2535839	Leucoagaricus americanus (Peck) Vellinga	2	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Agaricaceae	4170	Leucoagaricus	2529999	Leucoagaricus americanus	2535839	
2524265	Gyroporus cyanescens (Bull.) Quél.	2524265	Gyroporus cyanescens (Bull.) Quél.	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Boletales	1063	Gyroporaceae	4193	Gyroporus	2524262	Gyroporus cyanescens	2524265	
2538524	Hygrocybe conica (Schaeff.) P.Kumm.	2538524	Hygrocybe conica (Schaeff.) P.Kumm.	4	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Hygrophoraceae	4176	Hygrocybe	2523318	Hygrocybe conica	2538524	
2538871	Clitocybe clavipes (Pers.) P.Kumm.	2538864	Ampulloclitocybe clavipes (Pers.) Redhead, Lutzoni, Moncalvo & Vilgalys	2	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Hygrophoraceae	4176	Ampulloclitocybe	2538863	Ampulloclitocybe clavipes	2538864	
8013368	Peziza repanda Wahlenb.	8013368	Peziza repanda Wahlenb.	2	SPECIES	ACCEPTED	Fungi	5	Ascomycota	95	Pezizomycetes	316	Pezizales	1057	Pezizaceae	8399	Peziza	8766080	Peziza repanda	8013368	
8956209	Xylaria polymorpha (Pers.) Grev.	8956209	Xylaria polymorpha (Pers.) Grev.	4	SPECIES	ACCEPTED	Fungi	5	Ascomycota	95	Sordariomycetes	320	Xylariales	1298	Xylariaceae	4168	Xylaria	2568748	Xylaria polymorpha	8956209	
9319774	Russula flavida Frost ex Peck	9319774	Russula flavida Frost ex Peck	5	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Russulales	1144	Russulaceae	7609	Russula	2551169	Russula flavida	9319774	
2526740	Panaeolus subbalteatus (Berk. & Broome) Sacc.	2526740	Panaeolus subbalteatus (Berk. & Broome) Sacc.	3	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Bolbitiaceae	8440	Panaeolus	2524401	Panaeolus subbalteatus	2526740	
5251836	Nectria cinnabarina (Tode) Fr.	5251836	Nectria cinnabarina (Tode) Fr.	1	SPECIES	ACCEPTED	Fungi	5	Ascomycota	95	Sordariomycetes	320	Hypocreales	1290	Nectriaceae	4152	Nectria	2560952	Nectria cinnabarina	5251836	
5243647	Oudemansiella mucida (Schrad.) Höhn.	2537081	Mucidula mucida (Schrad.) Pat.	5	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Physalacriaceae	4182	Mucidula	7243452	Mucidula mucida	2537081	
2522137	Phellodon melaleucus (Sw. ex Fr.) P.Karst.	2522137	Phellodon melaleucus (Sw. ex Fr.) P.Karst.	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Thelephorales	530	Bankeraceae	7608	Phellodon	2522127	Phellodon melaleucus	2522137	
5249564	Cantharellus minor Peck	5249564	Cantharellus minor Peck	4	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Cantharellales	1300	Cantharellaceae	8457	Cantharellus	9623860	Cantharellus minor	5249564	
2543259	Trametes dickinsii Berk. ex Cooke	2543258	Daedalea dickinsii Yasuda	3	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Polyporales	1145	Fomitopsidaceae	7619	Daedalea	2513778	Daedalea dickinsii	2543258	
2543794	Stereopsis burtiana (Peck) D.A.Reid	2543794	Stereopsis burtiana (Peck) D.A.Reid	2	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Stereopsidales	9799109	Stereopsidaceae	7717211	Stereopsis	9756029	Stereopsis burtiana	2543794	
3495840	Galiella celebica (Henn.) Nannf.	8402527	Trichaleurina celebica (Henn.) M.Carbone, Agnello & P.Alvarado	1	SPECIES	SYNONYM	Fungi	5	Ascomycota	95	Pezizomycetes	316	Pezizales	1057	Pyronemataceae	4131	Trichaleurina	8076873	Trichaleurina celebica	8402527	
2537250	Marasmius oreades (Bolton) Fr.	2537250	Marasmius oreades (Bolton) Fr.	2	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Marasmiaceae	4179	Marasmius	2526678	Marasmius oreades	2537250	
5240325	Amanita phalloides (Vaill. ex Fr.) Link	5240325	Amanita phalloides (Vaill. ex Fr.) Link	3	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Amanitaceae	4171	Amanita	6005964	Amanita phalloides	5240325	
5243524	Cystoderma fallax A.H.Sm. & Singer	5243524	Cystoderma fallax A.H.Sm. & Singer	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Agaricaceae	4170	Cystoderma	7451789	Cystoderma fallax	5243524	
3354660	Tylopilus chromapes (Forst) Smith & Thiers	9744683	Harrya chromipes (Frost) Halling, Nuhn, Osmundson & Manfr.Binder	1	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Boletales	1063	Boletaceae	8789	Harrya	7758421	Harrya chromipes	9744683	
5452103	Amanita longistriata S.Imai	5452103	Amanita longistriata S.Imai	4	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Amanitaceae	4171	Amanita	6005964	Amanita longistriata	5452103	
2545177	Steccherinum ochraceum (Pers. ex J.F.Gmel.) Gray	2545177	Steccherinum ochraceum (Pers. ex J.F.Gmel.) Gray	3	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Polyporales	1145	Meruliaceae	3287	Steccherinum	2518647	Steccherinum ochraceum	2545177	
2560551	Cordyceps sphecocephala (Klotzsch ex Berk.) Berk. & M.A.Curtis	2560547	Ophiocordyceps sphecocephala (Klotzsch ex Berk.) G.H.Sung, J.M.Sung, Hywel-Jones & Spatafora	2	SPECIES	SYNONYM	Fungi	5	Ascomycota	95	Sordariomycetes	320	Hypocreales	1290	Ophiocordycipitaceae	8421	Ophiocordyceps	2560546	Ophiocordyceps sphecocephala	2560547	
7240413	Boletus auripes Peck.	7240413	Boletus auripes Peck.	3	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Boletales	1063	Boletaceae	8789	Boletus	8287374	Boletus auripes	7240413	
5239505	Dictyophora indusiata (Vent.) Desv.	2524108	Phallus indusiatus Vent.	3	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Phallales	532	Phallaceae	3292	Phallus	2524102	Phallus indusiatus	2524108	
2544343	Mycoacia copelandii (Pat.) Aoshima & H.Furuk.	2544338	Radulodon copelandii (Pat.) N.Maek.	4	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Polyporales	1145	Meruliaceae	3287	Radulodon	2541584	Radulodon copelandii	2544338	
3317061	Panaeolus papilionaceus (Bull.) Quél.	3317061	Panaeolus papilionaceus (Bull.) Quél.	2	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Bolbitiaceae	8440	Panaeolus	2524401	Panaeolus papilionaceus	3317061	
2585535	Arachnopeziza aurelia (Pers.) Fuckel	2585535	Arachnopeziza aurelia (Pers.) Fuckel	1	SPECIES	ACCEPTED	Fungi	5	Ascomycota	95	Leotiomycetes	179	Helotiales	1052	Arachnopezizaceae	8377363	Arachnopeziza	2580664	Arachnopeziza aurelia	2585535	
3451674	Cordyceps takaomontana Yakush. & Kumaz.	3451674	Cordyceps takaomontana Yakush. & Kumaz.	2	SPECIES	ACCEPTED	Fungi	5	Ascomycota	95	Sordariomycetes	320	Hypocreales	1290	Cordycipitaceae	8418	Cordyceps	2560661	Cordyceps takaomontana	3451674	
